2M++,2M++,"Cosmicflows-3 Distances","Cosmicflows-3 Distances","Cosmicflows-3 Distances","Cosmicflows-3 Distances"
pgc,Ks,Vcmb,Dist,Nd,RAJ,DeJ
%7s,%5.2f,%5d,%6.2f,%1d,%8s,%9s
---,mag,km/s,Mpc,,hms,damas
"The Catalogue of Principal Galaxies (PGC) Number","Apparent Ks 20 mag/as^2 isophote magnitude adjusted for cosmological surface brightness dimming, extinction, filter redshift response, and stellar evolution, as defined by Lavaux and Hudson","Velocity in Cosmic Microwave Background frame","Luminosity distance (weighted average if more than one source)","Number of distance sources","Right Ascension (J2000)","Declination (J2000)"
5933,9.94,4786,,,,
5937,11.86,8634,,,,
5939,10.53,4856,,,,
5944,11.98,9491,,,,
5945,,,65.16,1,013604.5,+114122
5948,11.06,14585,,,,
5952,11.55,11739,,,,
5955,10.65,9926,,,,
5956,11.85,6333,,,,
5959,11.04,4922,,,,
5960,10.20,4885,,,,
5962,11.53,6205,,,,
5964,11.22,5258,62.23,1,013627.6,-362238
5970,12.25,17564,,,,
5971,11.33,13072,123.03,1,013639.8,-012345
5974,,,9.77,1,013641.7,154701
5976,11.14,11826,,,,
5977,11.81,14980,,,,
5978,11.55,11485,134.28,1,013640.6,-135322
5980,11.47,6240,,,,
5983,10.92,5333,,,,
5984,9.88,4893,,,,
5985,11.85,11399,,,,
5986,,,102.33,1,013656.3,+315906
5987,10.62,12026,,,,
5988,11.47,11144,,,,
5989,11.95,6407,,,,
5993,10.61,8707,,,,
5995,11.38,14901,,,,
5996,12.17,20621,,,,
5997,11.64,6398,,,,
5999,11.45,11804,126.47,1,013708.1,-150342
6004,10.81,12108,155.60,1,013715.4,-091151
6007,10.20,2868,36.64,1,013717.5,+055239
6013,11.57,11966,154.88,1,013723.2,-091614
6016,12.40,12507,,,,
6018,10.85,6433,69.18,1,013733.9,-424026
6019,11.59,6317,,,,
6020,9.98,5567,,,,
6024,10.55,10883,113.24,1,013738.4,-050344
6027,11.38,11881,138.04,1,013740.8,-131853
6028,11.58,11675,184.50,1,013737.2,-123108
6038,11.60,10206,,,,
6039,12.03,1218,,,,
6044,11.58,5830,,,,
6045,,,72.78,2,013803.5,+322938
6047,12.07,11777,,,,
6051,11.37,10358,,,,
6056,11.07,10852,147.23,1,013815.5,+413914
6059,9.96,4657,,,,
6060,11.66,24535,,,,
6061,11.18,4002,58.34,1,013820.8,+073202
6062,11.70,13756,,,,
6064,12.46,12310,,,,
6070,,,173.78,1,013827.8,-090946
6071,11.77,8859,128.23,1,013828.5,-333628
6077,10.70,4517,,,,
6078,10.28,7366,,,,
6081,9.45,6168,,,,
6083,10.54,10296,125.89,1,013839.8,-174952
6085,11.17,9447,118.58,1,013841.5,-201459
6087,11.22,10269,,,,
6090,10.47,4696,,,,
6092,11.35,8622,,,,
6093,11.07,4960,67.30,1,013847.8,-832151
6096,11.12,8106,,,,
6097,11.34,6057,82.41,1,013853.0,-423507
6099,10.35,6532,,,,
6101,11.95,5259,,,,
6102,12.04,8682,,,,
6104,9.92,6382,,,,
6105,,,133.66,1,013859.2,-295527
6109,10.57,6122,,,,
6110,8.56,1757,29.38,1,013906.6,-073045
6111,11.36,12742,,,,
6112,10.45,5651,,,,
6114,11.02,6466,,,,
6116,9.74,5229,,,,
6117,10.30,3933,,,,
6120,11.32,11556,166.72,1,013914.0,-141642
6124,10.52,5052,,,,
6127,12.34,6110,,,,
6130,12.18,7243,150.66,1,013924.9,-092404
6131,11.24,8942,,,,
6134,12.10,10410,,,,
6136,11.31,6686,,,,
6137,,,68.23,1,013931.2,+334927
6140,12.15,6385,,,,
6141,11.16,5239,,,,
6142,11.49,6126,,,,
6145,11.06,2880,,,,
6153,11.89,18120,,,,
6156,11.92,10752,164.44,1,013956.7,-050427
6161,10.33,5708,79.43,1,013957.0,-284149
6164,11.81,14785,,,,
6165,10.49,5576,,,,
6169,11.96,7169,,,,
6172,10.73,3014,34.36,1,014008.7,+054336
6180,10.30,5340,85.51,1,014021.6,-285446
6181,11.74,8635,,,,
6189,11.02,5234,64.27,2,014027.9,+343731
6190,,,29.92,2,014027.8,-053113
6193,,,127.64,1,014030.0,+143122
6198,10.97,4761,,,,
6199,11.01,8660,,,,
6202,10.79,5709,,,,
6204,10.73,4930,,,,
6206,11.13,10046,,,,
6207,11.73,12331,,,,
6208,,,52.24,1,014043.4,+075858
6218,11.06,5049,76.21,1,014053.6,-101641
6228,11.42,1241,19.05,2,014107.1,-053405
6231,10.67,9690,,,,
6234,12.16,11507,,,,
6235,,,50.58,1,014124.4,+083131
6237,11.75,9662,,,,
6239,11.85,11277,,,,
6240,10.76,8136,,,,
6241,11.67,8974,,,,
6242,11.04,4589,65.16,1,014133.4,-831243
6249,11.10,2471,25.82,1,014135.1,-892004
6255,10.20,5530,,,,
6257,,,73.11,1,014149.3,-281450
6260,10.66,10795,,,,
6261,11.20,10388,112.72,1,014152.7,-045323
6262,11.01,8326,,,,
6263,,,70.79,1,014155.0,+070715
6265,,,184.50,1,014156.3,+224124
6268,10.34,5752,,,,
6275,10.20,2693,44.87,2,014209.6,+123606
6280,12.25,5586,,,,
6283,11.13,6557,,,,
6284,12.14,9822,,,,
6289,10.61,5206,,,,
6290,10.48,5204,,,,
6292,,,7.69,1,014227.0,+135836
6293,9.90,3634,,,,
6294,,,33.73,2,014233.0,+181820
6300,11.57,10505,,,,
6301,11.28,4694,73.45,1,014242.3,-181336
6302,,,193.20,1,014242.3,+081029
6309,,,13.87,2,014248.3,+130921
6313,11.85,7648,101.39,1,014252.9,-405034
6316,,,73.79,1,014257.5,+041159
6318,,,13.55,1,014302.4,+133842
6319,12.36,3877,,,,
6321,10.29,6282,150.66,1,014306.1,-441253
6322,12.23,11710,,,,
6325,11.84,5123,,,,
6326,10.53,9877,,,,
6328,10.19,3587,42.66,1,014309.7,-341431
6329,,,75.16,1,014311.9,+041642
6332,10.18,5237,61.09,1,014314.2,+085321
6334,10.78,3555,,,,
6335,,,181.13,1,014318.8,+222512
6338,11.56,11077,,,,
6341,11.93,8615,,,,
6344,,,82.04,1,014331.9,-440942
6351,10.66,8667,,,,
6356,10.42,5124,85.11,1,014342.8,-040006
6357,9.63,5037,,,,
6358,10.77,4619,,,,
6359,10.51,5132,65.46,1,014345.8,+041322
6367,10.48,4882,,,,
6368,,,69.50,1,014401.4,+130427
6371,10.38,6428,,,,
6372,10.75,10487,,,,
6373,10.48,10197,,,,
6376,9.32,3541,,,,
6377,,,139.96,1,014417.3,+121517
6380,10.12,4321,65.46,1,014420.6,+172839
6381,11.12,7811,,,,
6387,10.91,9891,136.77,3,014428.7,-403953
6393,10.93,5397,75.51,1,014435.4,+374145
6394,12.07,9987,,,,
6400,11.00,5151,77.27,1,014439.0,-073712
6404,11.09,14844,,,,
6406,10.16,5234,,,,
6412,11.40,7867,,,,
6415,9.00,5127,,,,
6418,11.75,11771,165.20,1,014456.7,-225508
6422,12.22,9957,,,,
6428,11.40,5145,,,,
6429,11.51,5690,96.83,1,014503.0,-211715
6430,,,4.57,1,014503.9,-433554
6434,,,192.31,1,014510.1,+320723
6435,12.25,6184,104.71,1,014510.8,-415248
6436,11.86,26882,,,,
6439,10.72,5251,,,,
6447,10.81,5204,,,,
6448,10.29,5047,,,,
6449,10.78,9398,,,,
6450,11.02,15262,205.12,1,014528.5,-100536
6453,10.77,6821,,,,
6454,,,71.45,1,014535.7,+032127
6456,11.30,4981,,,,
6459,,,102.80,1,014541.3,+284820
6464,11.98,6257,,,,
6467,12.14,27232,,,,
6473,,,91.62,2,014551.8,+350639
6474,10.92,5585,,,,
6475,10.63,4821,72.78,1,014554.9,+094922
6476,11.37,6274,,,,
6483,10.48,4469,,,,
6497,11.99,14202,,,,
6500,,,23.23,1,014620.6,+041550
6502,10.34,4239,58.08,2,014622.7,+362736
6503,11.63,3601,,,,
6505,11.82,3687,,,,
6506,11.05,14642,,,,
6510,11.00,4664,,,,
6511,10.55,5261,79.07,1,014629.5,-131452
6521,11.07,5169,,,,
6524,10.67,8807,,,,
6528,,,45.29,1,014649.5,+242753
6530,12.44,20349,,,,
6531,10.46,4929,,,,
6535,11.12,10193,,,,
6538,11.08,14270,,,,
6546,10.64,5170,82.41,1,014659.1,+130730
6548,12.10,6265,,,,
6557,12.14,9810,121.34,1,014713.1,-403929
6560,9.13,4414,,,,
6564,11.01,8779,,,,
6565,11.84,9766,138.68,1,014718.2,-140243
6568,11.14,6915,,,,
6570,9.61,3428,,,,
6572,11.24,4588,,,,
6574,,,7.45,1,014729.9,+271958
6581,9.69,1286,,,,
6584,10.32,8512,116.95,1,014744.6,-333606
6585,11.40,4981,,,,
6587,,,95.50,1,014748.0,-164319
6592,11.18,13336,120.23,1,014745.4,-215000
6595,,,7.18,1,014754.0,+272555
6598,9.80,1164,,,,
6603,11.04,6008,,,,
6605,10.95,14490,,,,
6607,,,82.41,2,014807.1,+362711
6614,12.03,13916,,,,
6617,,,157.04,1,014816.1,+322139
6624,9.86,4894,58.88,3,014822.5,+113117
6627,,,59.16,1,014833.5,+132550
6628,,,65.16,1,014834.5,+134204
6629,11.49,13974,,,,
6633,10.31,5199,,,,
6636,,,73.79,1,014837.8,+134608
6638,11.26,6189,77.98,1,014837.4,-484916
6642,9.52,6101,,,,
6643,9.50,4871,,,,
6644,10.74,5065,,,,
6645,10.92,8637,,,,
6646,11.99,4778,,,,
6652,11.96,8706,,,,
6654,10.93,4956,,,,
6655,9.38,4313,44.87,1,014856.1,-234754
6657,10.29,4798,,,,
6663,9.63,5312,63.10,1,014904.6,-145829
6664,,,76.21,1,014905.8,+345859
6665,11.07,5047,,,,
6666,9.85,4932,74.13,1,014908.4,-035416
6667,11.46,1727,,,,
6670,10.68,7585,,,,
6671,8.77,1508,,,,
6672,11.20,11436,135.52,1,014912.9,+330545
6673,9.44,4812,,,,
6674,11.34,12310,,,,
6675,11.02,2466,24.89,2,014915.1,+204239
6676,11.18,1083,,,,
6677,10.53,4745,,,,
6679,10.37,4760,,,,
6686,11.36,4975,76.21,1,014922.2,-140723
6687,,,71.45,1,014924.8,+132208
6689,11.28,5515,,,,
6691,10.06,3887,103.28,1,014925.8,+352710
6692,10.55,5949,89.13,1,014927.9,-560312
6694,10.12,4933,,,,
6695,10.33,7893,,,,
6697,10.57,8820,,,,
6699,,,5.27,1,014932.4,+323510
6703,,,25.59,1,014937.9,-133415
6710,11.64,8036,,,,
6711,9.26,4791,60.26,1,014943.8,+354708
6719,8.76,2519,,,,
6720,11.64,11711,151.36,1,014947.1,-215426
6722,11.98,9274,,,,
6724,10.39,3895,72.11,1,014951.8,-272800
6728,,,60.81,1,015003.7,+162617
6730,11.89,12840,,,,
6734,11.07,13860,,,,
6735,11.72,5229,,,,
6736,11.71,5063,99.08,1,015000.4,-062629
6742,12.38,5128,,,,
6744,11.16,7029,,,,
6750,,,25.94,1,015013.1,+230928
6754,11.28,7962,,,,
6756,,,33.88,1,015012.4,+271145
6758,,,106.17,1,015014.8,+361343
6759,9.03,3260,43.65,1,015014.0,+273844
6760,10.99,10360,134.28,1,015015.5,+332944
6761,12.05,17041,,,,
6763,10.58,4967,76.56,1,015027.6,-083123
6776,11.29,5950,,,,
6777,12.07,8354,,,,
6778,,,18.37,2,015030.9,+060842
6780,,,69.18,1,015032.9,+352133
6782,9.38,4835,56.49,1,015033.3,+362214
6791,10.58,5098,,,,
6793,9.06,2386,38.37,2,015041.7,+214535
6795,11.38,10322,,,,
6796,10.21,10436,134.28,1,015042.9,+330455
6798,11.32,5268,83.56,1,015043.7,-120208
6799,10.36,3893,59.43,2,015044.2,+351703
6802,11.08,11070,81.28,1,015046.8,+323248
6803,11.24,11126,133.66,1,015051.7,+330531
6805,10.56,4633,,,,
6807,9.44,4916,59.43,1,015051.2,+361632
6809,10.50,5533,75.51,1,015052.6,-360047
6811,10.32,6864,,,,
6813,11.77,16215,,,,
6814,,,59.16,1,015053.2,+181808
6816,11.02,2669,,,,
6824,11.46,14080,,,,
6826,9.33,1564,20.51,2,015104.0,-094208
6830,,,0.42,3,015106.3,-442641
6832,10.95,12680,,,,
6833,,,20.51,1,015108.5,+215446
6835,11.57,12538,,,,
6839,11.78,4974,,,,
6844,10.37,9455,,,,
6846,11.45,12657,,,,
6847,12.21,15185,,,,
6848,,,32.66,1,015117.6,+222128
6849,,,337.29,1,015121.1,+330332
6850,,,135.52,1,015121.3,+331111
6851,,,75.16,2,015117.5,+345055
6852,10.43,10345,,,,
6856,10.66,10149,134.28,1,015123.6,+330151
6858,11.09,13648,,,,
6859,11.74,5146,,,,
6861,10.58,5204,,,,
6864,,,40.36,2,015128.4,-063059
6865,11.06,5055,62.23,2,015129.2,+360357
6872,10.79,9777,,,,
6874,9.79,5252,,,,
6876,10.68,5265,,,,
6877,12.29,14527,,,,
6881,11.07,9723,,,,
6882,12.07,12586,,,,
6883,12.23,12662,,,,
6887,11.08,10389,134.28,1,015145.4,+333214
6888,,,243.22,1,015148.5,+001549
6889,,,57.81,1,015147.3,+181114
6890,11.50,4907,,,,
6892,10.84,4401,,,,
6897,9.68,4694,,,,
6898,,,33.57,1,015150.1,-052951
6900,11.26,14661,123.03,1,015156.8,-164717
6901,11.89,8939,136.14,3,015155.2,-241900
6903,,,45.71,1,015200.5,+353820
6904,,,56.75,1,015156.7,-314411
6905,,,91.20,1,015155.3,+084951
6909,12.16,17523,,,,
6910,12.31,7464,,,,
6912,10.60,9234,,,,
6916,10.99,4588,,,,
6917,11.66,8503,,,,
6929,9.64,6589,,,,
6938,10.30,3743,,,,
6940,10.41,4645,,,,
6945,,,75.16,1,015232.6,+360654
6946,,,128.23,1,015232.8,-355023
6948,9.88,3901,,,,
6950,11.52,10232,,,,
6952,11.92,10514,,,,
6953,10.54,4476,58.88,1,015237.7,+360736
6955,10.44,6352,,,,
6956,11.76,14419,,,,
6957,9.99,5326,72.78,1,015239.7,+361016
6961,10.33,5290,,,,
6962,8.75,4601,71.12,1,015246.5,+360907
6964,11.75,6033,,,,
6965,11.77,9093,,,,
6966,10.01,4792,70.79,2,015249.0,-032648
6969,11.17,3360,,,,
6972,11.12,5871,,,,
6977,10.45,4722,,,,
6982,9.82,4272,59.98,1,015259.7,+124230
6983,,,26.06,3,015300.5,-134419
6988,9.53,5034,66.68,1,015308.4,+364911
6991,11.50,5330,,,,
6993,8.84,1449,,,,
6994,9.12,6067,,,,
6995,10.68,8887,,,,
6998,11.35,8155,,,,
7002,10.81,8269,,,,
7004,11.04,8837,,,,
7006,10.35,5002,68.23,1,015323.0,+365718
7009,9.82,4217,,,,
7012,11.42,14261,,,,
7017,10.66,6088,,,,
7019,10.25,8864,,,,
7020,11.65,10593,,,,
7023,10.84,7392,,,,
7024,10.39,1251,,,,
7027,11.23,9825,,,,
7029,10.61,3898,62.23,1,015350.1,+362101
7030,,,63.68,1,015353.4,+363505
7033,10.80,4931,,,,
7038,11.18,8237,,,,
7041,11.44,14822,,,,
7042,,,65.16,1,015403.7,+145434
7045,10.67,1187,,,,
7053,11.06,7801,,,,
7054,9.92,5958,56.49,1,015407.7,-564138
7055,,,54.45,1,015411.1,+353205
7059,,,47.21,1,015413.5,+180606
7061,11.46,5314,,,,
7064,10.87,15411,,,,
7066,10.70,4861,71.45,2,015419.8,+363747
7069,12.34,5805,85.90,1,015422.1,-491538
7070,12.10,5192,,,,
7071,10.76,4587,,,,
7072,,,51.76,1,015424.0,+052517
7073,,,76.91,1,015431.2,+174027
7078,11.48,11770,114.29,1,015429.0,-164226
7079,11.02,6242,,,,
7082,,,46.34,1,015434.7,+165157
7084,10.87,4813,,,,
7085,11.21,8919,,,,
7088,,,80.54,1,015437.5,+170431
7090,10.59,5313,,,,
7091,11.11,7047,,,,
7092,10.58,6040,75.16,1,015440.9,-553947
7095,12.41,15619,,,,
7096,,,82.04,1,015441.0,+060205
7097,10.91,5352,55.98,2,015445.5,+392300
7098,10.47,4622,,,,
7101,12.19,16780,,,,
7106,11.78,4797,,,,
7111,10.74,5370,59.70,1,015453.9,+365504
7116,,,143.88,1,015454.3,+004840
7118,9.32,3631,,,,
7122,11.20,4782,,,,
7124,,,49.43,1,015457.6,+372034
7125,,,66.07,1,015458.2,+352515
7127,10.52,8702,,,,
7135,,,73.45,1,015506.9,+052225
7139,9.06,5105,48.75,1,015510.2,+351655
7150,,,90.36,1,015515.8,+100048
7158,10.38,6343,,,,
7161,11.65,4948,,,,
7164,10.56,4882,,,,
7168,11.57,8907,,,,
7174,11.89,7916,,,,
7179,9.75,6904,,,,
7180,10.81,4670,,,,
7181,12.02,14050,,,,
7191,9.40,4195,,,,
7195,12.40,26653,,,,
7197,10.15,6164,,,,
7198,11.06,12483,,,,
7209,11.11,4977,,,,
7210,12.03,7826,,,,
7212,11.30,4231,,,,
7220,11.24,4967,,,,
7221,,,109.65,1,015603.2,+173154
7223,10.15,5085,,,,
7229,,,106.17,1,015608.8,+173828
7230,10.98,8596,,,,
7231,11.79,8381,,,,
7233,11.17,5896,,,,
7235,11.20,4827,70.47,1,015611.1,+064441
7239,11.05,4560,,,,
7243,,,98.63,1,015616.9,+043849
7244,11.93,1560,36.64,1,015616.0,-225403
7246,,,126.47,1,015615.3,+130956
7247,8.51,2817,47.21,1,015619.2,+731658
7249,10.65,4927,,,,
7252,8.38,5272,,,,
7254,,,77.62,1,015621.1,+372707
7259,9.87,5014,55.72,1,015621.8,-042804
7262,10.52,1381,20.89,2,015622.6,-090341
7263,,,58.61,1,015623.8,+371257
7265,12.21,8592,,,,
7274,11.96,15099,,,,
7279,11.56,5325,,,,
7281,,,160.69,1,015642.7,+174238
7282,10.49,4374,,,,
7289,9.20,4098,,,,
7292,,,71.12,1,015643.5,+150052
7295,10.52,4546,,,,
7298,11.43,5597,88.31,1,015644.5,-435821
7299,,,193.20,1,015648.4,-001245
7300,,,115.88,1,015646.1,+365311
7301,10.31,4213,,,,
7302,10.15,6418,,,,
7304,11.17,4976,,,,
7306,11.44,4167,55.46,1,015653.3,-020108
7309,10.97,9408,,,,
7312,11.19,4271,,,,
7315,10.68,5219,,,,
7320,9.53,5167,,,,
7322,10.07,4627,,,,
7324,,,28.58,2,015659.1,-114650
7325,10.61,4941,,,,
7328,,,105.68,1,015705.3,-002805
7331,10.62,5293,,,,
7332,12.04,8642,,,,
7333,10.78,4325,,,,
7341,11.00,7650,108.64,1,015709.8,+143259
7354,,,68.87,1,015720.6,+042054
7360,11.10,6274,,,,
7365,12.06,12696,,,,
7366,10.68,5133,89.95,1,015730.5,-092744
7369,8.70,4997,,,,
7379,,,48.98,1,015740.4,-574724
7381,11.09,4290,,,,
7385,11.93,4748,,,,
7387,9.50,4652,42.07,1,015742.2,+355457
7389,11.44,12362,,,,
7390,11.86,12325,,,,
7393,11.30,5464,75.86,1,015748.6,-331423
7395,10.53,4763,,,,
7397,9.25,4418,65.16,2,015750.4,+362034
7398,10.35,6906,,,,
7399,11.11,475,,,,
7400,10.56,3630,,,,
7402,12.10,10961,134.90,1,015758.8,-380110
7403,11.83,14472,206.06,1,015746.0,-083334
7405,,,52.72,1,015759.9,+365504
7406,,,82.04,1,015759.9,+042342
7407,11.12,9738,147.91,1,015800.6,-353421
7410,12.00,10377,,,,
7415,10.85,5153,,,,
7416,11.05,4573,,,,
7418,11.44,11181,,,,
7420,,,78.34,1,015808.5,+020352
7421,11.06,4661,,,,
7424,12.39,14186,263.03,1,015810.0,-480737
7425,10.89,4614,,,,
7426,12.19,5798,,,,
7427,11.23,5354,88.72,1,015812.9,-393240
7430,9.73,6252,,,,
7438,12.06,4823,,,,
7439,12.05,12791,,,,
7445,9.91,4659,47.86,1,015830.1,+252136
7446,10.26,5861,,,,
7447,11.65,5695,,,,
7450,11.77,8506,,,,
7451,10.31,4315,,,,
7455,11.49,5205,,,,
7460,10.64,4718,,,,
7465,10.94,6745,79.80,1,015840.9,+003145
7468,9.94,7825,,,,
7469,12.16,17152,,,,
7471,10.84,8338,,,,
7472,9.55,3023,36.48,1,015826.4,+710708
7475,9.72,4848,,,,
7478,,,70.15,1,015853.3,+053538
7479,12.27,16470,,,,
7481,12.40,4551,,,,
7483,11.89,5123,,,,
7485,,,37.67,1,015851.9,-080945
7486,10.09,5215,,,,
7488,10.25,4590,59.43,1,015854.9,+364029
7491,10.49,4594,,,,
7498,12.24,17484,,,,
7499,11.29,14455,,,,
7502,10.66,4625,,,,
7504,,,69.50,2,015906.6,+360346
7505,11.68,1443,,,,
7506,,,52.48,1,015909.5,+252308
7507,12.00,4865,,,,
7514,11.77,4251,,,,
7515,12.37,4682,,,,
7516,11.84,11253,,,,
7517,10.36,2165,,,,
7523,10.64,5916,,,,
7527,10.97,4585,,,,
7530,10.89,3003,,,,
7533,,,46.56,1,015930.9,+135637
7536,9.94,4318,,,,
7537,10.56,4159,54.20,2,015936.0,+305435
7538,10.87,3457,,,,
7539,11.55,7853,,,,
7542,11.30,8253,,,,
7543,12.48,5976,,,,
7544,8.24,1094,20.14,2,015942.5,-055750
7545,,,73.11,1,015942.8,+320453
7547,10.48,5017,,,,
7550,12.44,4741,,,,
7552,10.17,5645,63.68,1,015949.4,-554928
7553,11.37,5098,,,,
7554,10.82,5117,,,,
7557,10.95,5494,,,,
7558,11.03,4639,,,,
7560,9.85,4652,,,,
7562,,,69.82,1,015955.2,+241844
7568,10.73,4964,,,,
7576,11.69,12918,149.28,1,020006.0,-013142
7577,10.14,3206,,,,
7578,,,160.69,1,020010.1,-352437
7581,9.60,3965,,,,
7583,9.61,3575,,,,
7584,8.50,4783,,,,
7585,12.15,5147,,,,
7586,11.22,4777,,,,
7591,10.17,4866,,,,
7594,10.42,4659,83.18,1,020019.1,+242825
7597,10.40,5176,,,,
7599,10.80,12490,,,,
7602,10.80,4578,56.23,1,020023.8,+210629
7603,10.87,4761,58.88,1,020023.4,+243450
7606,10.96,8988,,,,
7609,10.14,4475,,,,
7616,10.37,4961,,,,
7618,11.18,3953,,,,
7621,11.40,17206,,,,
7626,12.31,14485,,,,
7629,11.78,10437,,,,
7631,10.87,10811,,,,
7632,9.65,4471,,,,
7636,10.47,4243,71.45,1,020049.9,-250136
7639,12.44,26311,,,,
7644,10.38,4371,,,,
7645,11.92,5283,78.34,1,020054.9,-315511
7646,10.20,3894,51.29,2,020055.1,+381237
7648,10.49,6723,,,,
7649,,,63.10,1,020058.9,+081840
7652,10.93,5114,,,,
7656,9.20,3812,,,,
7657,9.90,4934,,,,
7658,11.18,5665,,,,
7659,9.94,4667,,,,
7660,11.19,4729,,,,
7661,11.60,5684,,,,
7663,,,32.66,2,020112.1,+194030
7664,11.56,10456,,,,
7668,11.13,5325,,,,
7670,12.26,4667,48.53,1,020114.6,-342147
7671,,,5.15,2,020117.0,+285014
7674,10.71,4832,,,,
7675,11.15,11588,165.96,1,020121.0,-011812
7677,10.01,5049,,,,
7679,12.39,5999,,,,
7680,11.02,4189,,,,
7682,12.39,2179,,,,
7683,10.16,4879,,,,
7684,11.02,22587,,,,
7692,10.14,8102,,,,
7694,9.97,4687,,,,
7696,11.16,6379,,,,
7702,10.10,7759,,,,
7703,11.41,6555,,,,
7706,10.98,4745,,,,
7709,10.52,4296,,,,
7712,12.19,12850,218.78,1,020150.2,-011949
7714,11.65,4480,,,,
7715,10.95,7629,,,,
7720,10.81,6337,,,,
7722,12.45,10604,,,,
7723,11.16,8348,,,,
7726,10.61,8842,,,,
7727,10.98,6227,71.12,1,020159.7,-583415
7730,11.89,9810,,,,
7731,11.09,4502,,,,
7732,10.61,8397,92.47,1,020214.7,-025042
7737,10.93,6883,,,,
7739,10.66,5316,,,,
7741,10.55,5643,,,,
7742,10.92,4746,69.82,1,020212.0,-283926
7743,12.20,4733,,,,
7744,10.46,4374,,,,
7746,11.73,14995,,,,
7747,10.02,8022,,,,
7748,10.82,12496,,,,
7749,11.09,19203,,,,
7751,10.43,4308,,,,
7752,11.66,19626,,,,
7753,10.84,12926,,,,
7755,12.02,14995,,,,
7757,11.29,5789,,,,
7760,10.74,5013,,,,
7763,9.69,7953,,,,
7765,10.49,4374,,,,
7766,9.76,6226,110.15,1,020230.8,-505554
7768,10.92,3645,,,,
7773,10.78,4600,,,,
7775,,,173.78,1,020235.9,+222251
7779,10.98,5419,,,,
7786,12.00,5423,,,,
7800,,,106.66,1,020254.9,+073125
7812,10.88,6086,100.93,1,020305.2,+023651
7819,,,31.33,1,020320.9,+234538
7821,10.97,12436,,,,
7823,10.65,4836,,,,
7829,11.93,9094,,,,
7830,11.27,15808,238.78,1,020317.2,-123817
7832,9.80,5413,,,,
7833,,,116.95,1,020336.4,+482719
7835,11.65,3669,,,,
7836,11.28,8882,,,,
7837,10.86,4697,,,,
7839,,,63.97,1,020335.5,+044708
7842,,,109.14,1,020337.0,+154448
7843,,,75.86,1,020341.0,+261636
7846,10.42,3375,,,,
7847,9.84,5527,53.46,2,020345.0,+381532
7849,10.12,1827,21.68,2,020344.7,+160151
7854,,,98.17,1,020349.4,-522651
7856,9.99,3373,,,,
7857,9.99,4621,,,,
7862,10.84,8233,,,,
7864,11.13,8222,,,,
7865,10.26,4704,69.82,1,020356.8,-231844
7868,11.31,12108,,,,
7870,11.58,14413,,,,
7873,10.63,5014,,,,
7875,11.08,6061,60.26,1,020404.9,+024712
7878,11.10,5159,,,,
7881,10.11,4467,,,,
7889,10.71,5043,75.16,1,020419.0,-084407
7890,10.72,5748,,,,
7893,10.88,7767,,,,
7894,10.11,7379,,,,
7899,10.64,4288,,,,
7900,,,18.54,1,020431.4,-061156
7903,9.25,5786,,,,
7904,10.94,6015,,,,
7909,10.04,4777,,,,
7910,12.38,21533,,,,
7912,12.25,15370,,,,
7916,11.02,4868,,,,
7917,11.15,3237,,,,
7928,11.62,6400,,,,
7932,11.61,9078,,,,
7933,,,169.04,2,020455.5,+430918
7934,9.51,4507,,,,
7940,11.77,4804,,,,
7941,10.86,6385,,,,
7942,11.78,4979,,,,
7946,12.29,15815,,,,
7947,12.11,12913,,,,
7951,10.81,7459,95.94,1,020514.0,+095531
7953,,,89.13,1,020515.3,+373801
7954,12.29,8218,,,,
7957,,,85.51,2,020517.1,+344719
7960,,,55.46,1,020514.9,+300017
7961,10.32,3658,,,,
7963,,,115.88,1,020521.0,+083134
7965,9.79,7394,,,,
7966,,,88.31,1,020526.7,+131938
7967,10.27,5018,,,,
7972,10.68,4169,65.77,2,020533.7,+345251
7973,12.08,7797,,,,
7975,11.96,12122,,,,
7982,10.22,5823,,,,
7985,12.26,15485,,,,
7986,11.44,8038,94.62,1,020543.0,-710656
7988,11.05,5652,,,,
7995,10.62,4831,,,,
7996,11.46,11495,,,,
8009,10.84,5596,,,,
8011,,,111.17,1,020603.1,+091743
8012,10.29,5871,,,,
8013,9.54,4747,,,,
8014,,,107.15,1,020606.0,+131707
8015,11.04,5838,,,,
8016,12.42,11356,316.23,1,020619.3,-022123
8019,10.56,4581,,,,
8020,11.07,4899,,,,
8021,10.73,12478,,,,
8026,,,127.06,1,020619.4,+091338
8028,11.95,5129,58.61,1,020616.4,-413123
8029,10.75,12624,,,,
8031,12.39,5753,77.27,1,020620.8,-520141
8032,11.06,8260,,,,
8035,,,74.47,1,020627.2,+270159
8037,12.16,18980,,,,
8040,10.56,4490,,,,
8042,11.83,8219,,,,
8045,12.38,16201,,,,
8049,11.58,10437,149.28,1,020636.6,-314640
8055,10.38,5093,,,,
8056,,,117.49,1,020636.8,+013056
8059,10.63,8178,,,,
8061,11.16,6274,,,,
8062,12.25,14743,,,,
8066,,,53.46,2,020651.6,+443417
8068,10.65,5641,,,,
8069,11.55,5742,,,,
8078,,,69.18,1,020708.3,+425756
8079,,,125.31,1,020712.3,+085840
8080,11.95,17963,,,,
8081,12.28,11958,,,,
8082,,,60.81,1,020721.6,+434623
8087,10.63,4910,,,,
